r (cm),g(r),Rel. Uncertainty
0,1.27562,0.000252358
0.06,1.27562,0.000274022
0.08,1.19898,0.000294926
0.1,1.10978,0
0.15,1.01834,0.000253048
0.2,1.0006,0.000261775
0.25,0.99471,0.00026995
0.5,0.9967,0.000277636
0.75,0.99833,0.000284886
1,1.000,0.000291801
1.5,1.00277,0.000298397
2,1.00501,0.00030475
3,1.00752,0.0002739
4,1.00674,0.000280635
5,1.00261,0.000287229
6,0.99552,0.000293765
8,0.9724,0.00030033
10,0.93894,0.000268348
