r (cm)/ theta(deg),1.25,2.5,3.75,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,176.25,177.5,178.75
7,0.9294,0.931919,0.936551,0.941285,0.961031,0.972126,0.979324,0.984309,0.987566,0.990641,0.993094,0.994569,0.996192,0.997108,0.998023,0.998611,0.999405,0.999486,0.999806,1.00011,1,1.00001,0.999695,0.999514,0.999334,0.99845,0.997878,0.997045,0.996214,0.994172,0.992664,0.990549,0.987117,0.98327,0.977376,0.968708,0.955021,0.927841,0.917056,0.9061,0.901164
8,0.935296,0.936581,0.941707,0.946042,0.963226,0.973406,0.980218,0.985008,0.988402,0.990966,0.9932,0.994681,0.996115,0.996823,0.997848,0.998512,0.999061,0.999507,0.999712,0.999961,1,0.999879,0.999548,0.999277,0.999003,0.998445,0.997923,0.99705,0.995802,0.994439,0.993116,0.990798,0.987986,0.984124,0.978491,0.970397,0.958297,0.934343,0.924597,0.915715,0.909509
9,0.941733,0.942505,0.945697,0.950223,0.965852,0.975208,0.981354,0.985659,0.989084,0.991222,0.993456,0.994913,0.996248,0.997154,0.998115,0.998624,0.999168,0.999771,0.99984,1.00007,1,1.00013,0.999716,0.999349,0.999323,0.998605,0.998177,0.996919,0.996436,0.994338,0.993244,0.991244,0.988409,0.984818,0.979681,0.972352,0.961669,0.939636,0.929807,0.922468,0.916729
10,0.948765,0.946588,0.949886,0.953474,0.967882,0.976474,0.98219,0.986313,0.989347,0.991803,0.993267,0.995,0.996306,0.997282,0.997731,0.998819,0.999258,0.999608,0.999628,0.999767,1,0.99992,0.999862,0.999091,0.999173,0.998717,0.998297,0.997248,0.99618,0.99461,0.993207,0.991258,0.988741,0.985215,0.980864,0.974082,0.963506,0.943574,0.936716,0.929175,0.925616
11,0.949322,0.950585,0.953813,0.956873,0.969563,0.977841,0.982966,0.986762,0.989656,0.992032,0.993736,0.994946,0.996313,0.997276,0.99813,0.998851,0.999225,0.99962,0.999749,0.99987,1,0.999933,0.999781,0.999279,0.998978,0.998634,0.998172,0.997265,0.996142,0.994623,0.993281,0.991549,0.98904,0.985959,0.981231,0.975459,0.965168,0.94797,0.94027,0.934619,0.930558
12,0.953218,0.953495,0.956224,0.959198,0.971174,0.97876,0.983341,0.987023,0.989543,0.99188,0.993453,0.994996,0.996356,0.997067,0.997702,0.998622,0.998933,0.999221,0.999619,0.999694,1,0.999646,0.999481,0.998976,0.998919,0.998494,0.997975,0.996957,0.996086,0.994558,0.993415,0.991494,0.989347,0.985884,0.982226,0.976288,0.967194,0.950508,0.94495,0.938473,0.934575
13,0.955957,0.957086,0.958981,0.962036,0.972741,0.979207,0.983986,0.987338,0.989836,0.992321,0.99379,0.995181,0.996381,0.996992,0.99803,0.998688,0.998962,0.999346,0.999624,0.999752,1,0.999791,0.999683,0.999412,0.999003,0.998791,0.997911,0.997053,0.996137,0.994617,0.993501,0.991791,0.989477,0.986452,0.982667,0.977405,0.968389,0.953796,0.948951,0.942648,0.938712
14,0.957927,0.958386,0.961591,0.963256,0.974294,0.980067,0.984777,0.987578,0.990155,0.99234,0.993986,0.995084,0.996578,0.997105,0.99797,0.998652,0.999098,0.999385,0.999617,0.999765,1,0.99997,0.999732,0.999411,0.99908,0.998555,0.997628,0.997178,0.996253,0.99515,0.993689,0.992055,0.98975,0.987,0.98317,0.977862,0.969429,0.957162,0.950898,0.94587,0.942151
15,0.960349,0.961074,0.963122,0.966539,0.974952,0.981232,0.985433,0.988299,0.990763,0.992814,0.994213,0.995602,0.99683,0.997612,0.998143,0.999027,0.999351,0.999535,0.99981,0.999897,1,1.0001,0.999873,0.999668,0.99942,0.998941,0.997969,0.997653,0.996533,0.99526,0.994018,0.992316,0.99003,0.987183,0.983752,0.978746,0.9711,0.959319,0.953644,0.948692,0.944808
16,0.962444,0.963325,0.965056,0.967439,0.976463,0.982143,0.98545,0.988388,0.991157,0.992957,0.994662,0.995762,0.99703,0.997463,0.998485,0.999045,0.999549,0.999763,1.00002,1.00001,1,1.00013,0.999766,0.999688,0.999446,0.998708,0.998105,0.997508,0.996848,0.995221,0.993998,0.992395,0.990631,0.987913,0.984056,0.979738,0.972543,0.960502,0.956423,0.952198,0.94957
17,0.96397,0.964619,0.967183,0.968643,0.977097,0.981637,0.985854,0.988367,0.990695,0.992716,0.99424,0.995446,0.996707,0.997301,0.997923,0.998439,0.999151,0.999466,0.999561,0.999911,1,0.999581,0.999515,0.999514,0.999189,0.998499,0.997802,0.997132,0.996055,0.995057,0.993801,0.991868,0.9902,0.987497,0.984226,0.979559,0.973893,0.961991,0.957917,0.954626,0.951403
18,0.965422,0.967733,0.967548,0.970855,0.978058,0.982751,0.986839,0.989137,0.99166,0.992897,0.99475,0.99572,0.997252,0.997905,0.998862,0.999502,0.999725,0.999877,1.00003,1.00047,1,1.00041,1.0002,1.00026,0.999618,0.998844,0.998209,0.997404,0.996779,0.995508,0.994084,0.992378,0.990753,0.988017,0.984911,0.980486,0.974835,0.964302,0.9594,0.957336,0.954937
19,0.969102,0.966587,0.969106,0.970785,0.978504,0.982862,0.985875,0.988977,0.991043,0.992584,0.994043,0.995579,0.996813,0.997365,0.998093,0.998475,0.999275,0.99919,0.999785,0.999722,1,0.99966,0.999466,0.999275,0.998846,0.99828,0.9976,0.997231,0.996338,0.995195,0.993776,0.992006,0.990428,0.9881,0.984668,0.980085,0.974864,0.965037,0.962377,0.956507,0.953814
