r (cm),g(r),Rel. Uncertainty
0.1,1.066,0.01
0.15,1.086,0.01
0.25,1.098,0.01
0.5,1.076,0.01
0.75,1.042,0.01
1.0,1.0,0.00
1.5,.908,0.01
2.0,.813,0.01
3,.633,0.01
4,.482,0.01
5,.361,0.01
6,.269,0.01
7,.1990,0.01
8,.147,0.01
9,.1080,0.01
10,.0790,0.01
