r (cm),g(r),Rel. Uncertainty
0.1,1.042,0.01
0.15,1.062,0.01
0.25,1.085,0.01
0.5,1.078,0.01
0.75,1.044,0.01
1,1,0.01
1.5,0.907,0.01
2,0.808,0.01
3,0.627,0.01
4,0.477,0.01
5,0.357,0.01
6,0.265,0.01
7,0.1963,0.01
8,0.1442,0.01
9,0.1058,0.01
10,0.0776,0.01
