r (cm)/ theta(deg),0,1,2,3,4,5,6,8,10,15,20,25,30,40,50,60,70,80,90,100,110,120,130,140,150,155,160,165,170,172,174,175,176,177,178,179,180
0.25,-,-,-,-,-,-,-,-,-,-,0.733570702,0.787843337,0.821129196,0.893835198,0.942044761,0.973692777,0.991180061,0.999776195,1,1.000081384,0.994862665,0.982207528,0.95706002,0.913031536,0.842716175,0.805574771,0.734964395,-,-,-,-,-,-,-,-,-,-
0.5,0.965035605,0.970874873,0.970508647,0.963743642,0.960625636,0.95750763,0.958153611,0.961610715,0.96723296,0.975676501,0.982258393,1.000732452,0.994303154,1.002288911,1.002126144,0.998229908,0.999704985,0.998758901,1,0.9974059,1.002044761,0.99878942,1.001983723,1.005656155,0.995831,0.994994914,0.96768057,0.952756867,0.939796541,-,-,-,-,-,-,-,-
0.75,0.945669371,0.960567951,0.963651116,0.964523327,0.970527383,0.97653144,0.977205882,0.979448952,0.982586207,0.981338742,0.989127789,0.994827586,0.994158215,0.998823529,0.9981643,1.002515213,0.998326572,0.999868154,1,1.000801217,1.000162272,1.002170385,0.994543611,0.997241379,0.990496957,0.983732252,0.979979716,0.966135903,0.955040568,0.944107505,0.935694726,-,-,-,-,-,-
1,0.922934673,0.952371859,0.962914573,0.95760804,0.96120603,0.96480402,0.966396985,0.971309883,0.977949749,0.980653266,0.990120603,0.989396985,0.991075377,0.997748744,0.996442211,0.998542714,1.00001005,1.002221106,1,1.000201005,0.998351759,0.999165829,0.995718593,0.992492462,0.988120603,0.987859296,0.97881407,0.970261307,0.95921608,0.954425461,0.944914573,0.937798995,0.934301508,0.93080402,0.932160804,0.932301508,0.930723618
1.5,0.944822214,0.947413304,0.952084174,0.955840291,0.959140411,0.962384195,0.964024089,0.967416426,0.971087511,0.978942808,0.984662079,0.988617569,0.992932906,0.996023836,0.998222868,0.999088537,0.999885925,1.000246672,1,1.000398138,0.999921143,0.999212541,0.998665906,0.995711607,0.991036467,0.986772713,0.98030853,0.96946207,0.953668755,0.943993544,0.93408235,0.926825287,0.92156092,0.919181722,0.912694983,0.907908616,0.908815805
2,0.947226043,0.947420918,0.951688139,0.957179568,0.95966493,0.961981478,0.963949267,0.967235279,0.971287625,0.97875622,0.984947078,0.988791908,0.99287673,0.996148588,0.998233098,0.99928307,1.000049675,1.000177871,1,1.000485961,0.999908745,0.999246033,0.998588061,0.995443613,0.990739554,0.986299143,0.980512998,0.969499112,0.954342949,0.944462314,0.934282673,0.928173575,0.923200603,0.919043811,0.91386539,0.908216559,0.906625233
3,0.945271992,0.946402892,0.951728249,0.957652964,0.961020556,0.963147561,0.964008832,0.967394194,0.971193928,0.978932075,0.984792308,0.988926344,0.992575438,0.996063301,0.998112454,0.998747442,0.99957036,0.999966587,1,1.000102215,0.999595781,0.998832126,0.99793475,0.995209306,0.990412449,0.986172827,0.980544966,0.969274283,0.955401402,0.945508669,0.935726626,0.930131146,0.924788911,0.92083087,0.91781813,0.910923017,0.906610406
4,0.943714556,0.946092307,0.95256241,0.957764183,0.961951314,0.964500327,0.964995516,0.968061263,0.971601007,0.979203089,0.985080302,0.989295155,0.992519827,0.996264206,0.998209973,0.998674223,0.999729867,0.999720944,1,1.000283158,0.999863115,0.998590014,0.99779982,0.995461089,0.990447885,0.986506569,0.980820127,0.969617009,0.956425497,0.947117214,0.937188877,0.931883259,0.927618396,0.923911265,0.919947443,0.912572739,0.908569111
5,0.945233906,0.948294119,0.954922708,0.958765648,0.962482182,0.964976104,0.965151056,0.967788368,0.97227317,0.979143066,0.98516072,0.989448498,0.992378158,0.995756901,0.998025992,0.998314806,0.999405876,0.999555646,1,1.00008395,0.99934502,0.998424322,0.997566144,0.995124486,0.990238248,0.98594967,0.981010684,0.970252948,0.957304052,0.948679861,0.938757776,0.933558662,0.929424066,0.925909448,0.922146804,0.915459878,0.911745883
