r (cm),g(r),Rel. Uncertainty
0.1,0.83,0.01
0.15,0.961,0.01
0.2,1.037,0.01
0.25,1.072,0.01
0.3,1.077,0.01
0.35,1.066,0.01
0.4,1.05,0.01
0.45,1.037,0.01
0.5,1.028,0.01
0.6,1.019,0.01
0.65,1.018,0.01
0.75,1.011,0.01
1,1,0.01
1.5,0.992,0.01
2,0.984,0.01
3,0.968,0.01
4,0.952,0.01
5,0.936,0.01
6,0.919,0.01
8,0.884,0.01
10,0.849,0.01
